"district_code","district_name","municipality","pop_density","pop","land_ha","water_ha","tot_ha","av_inc_rec","num_inc_rec","house_stock","av_house_val","year"
"WK051820","Wijk 20 Valkenboskwartier","'s-Gravenhage",17197,18250,106,1,107,29.6,14300,9529,148,2017
"WK051821","Wijk 21 Regentessekwartier","'s-Gravenhage",14435,13200,91,3,94,32.4,10400,7010,181,2017
"WK051822","Wijk 22 Zeeheldenkwartier","'s-Gravenhage",14342,11655,81,0,81,37.5,9100,6638,223,2017
"WK051823","Wijk 23 Willemspark","'s-Gravenhage",4345,1500,35,0,35,59.9,1200,1152,330,2017
"WK051824","Wijk 24 Haagse Bos","'s-Gravenhage",348,405,117,10,128,52.9,300,424,171,2017
"WK051825","Wijk 25 Mariahoeve en Marlot","'s-Gravenhage",4628,14075,304,5,309,32.5,10800,8584,145,2017
"WK051826","Wijk 26 Bezuidenhout","'s-Gravenhage",8668,16700,193,0,193,40.3,12900,9382,203,2017
"WK051827","Wijk 27 Stationsbuurt","'s-Gravenhage",13120,12145,93,1,94,26,8700,6563,132,2017
"WK051828","Wijk 28 Centrum","'s-Gravenhage",9523,19170,201,3,205,35.2,15600,12365,196,2017
"WK051829","Wijk 29 Schildersbuurt","'s-Gravenhage",21271,31150,146,0,146,19.1,22300,12425,113,2017
"WK051830","Wijk 30 Transvaalkwartier","'s-Gravenhage",19755,16180,82,0,82,20.8,11300,6103,118,2017
"WK051831","Wijk 31 Rustenburg en Oostbroek","'s-Gravenhage",19837,18610,94,1,95,25,13900,8451,114,2017
"WK051832","Wijk 32 Leyenburg","'s-Gravenhage",11648,14855,128,8,135,29,11900,7584,133,2017
"WK051833","Wijk 33 Bouwlust en Vrederust","'s-Gravenhage",6722,28195,419,9,428,23.7,20600,12514,124,2017
"WK051834","Wijk 34 Morgenstond","'s-Gravenhage",11071,18615,168,1,169,25.1,14200,9805,113,2017
"WK051835","Wijk 35 Zuiderpark","'s-Gravenhage",172,165,98,10,108,20.6,200,101,96,2017
"WK051836","Wijk 36 Moerwijk","'s-Gravenhage",11476,20480,178,2,180,22,15100,10353,98,2017
"WK051837","Wijk 37 Groente- en Fruitmarkt","'s-Gravenhage",11693,5220,45,5,50,22.6,3600,1683,135,2017
"WK051838","Wijk 38 Laakkwartier en Spoorwijk","'s-Gravenhage",15237,40795,268,13,281,22.8,30000,19026,114,2017
"WK051839","Wijk 39 Binckhorst","'s-Gravenhage",1199,1610,134,11,146,15.8,200,160,66,2017
"WK051840","Wijk 40 Wateringse Veld","'s-Gravenhage",6984,21610,309,18,328,37,15400,7612,266,2017
"WK051841","Wijk 41 Hoornwijk","'s-Gravenhage",49,170,357,15,372,42.5,100,66,450,2017
"WK051842","Wijk 42 Ypenburg","'s-Gravenhage",5939,27170,458,47,505,40.1,19000,9677,282,2017
"WK051843","Wijk 43 Forepark","'s-Gravenhage",50,145,295,9,304,48.5,100,39,NA,2017
"WK051844","Wijk 44 Leidschenveen","'s-Gravenhage",5874,20690,352,24,376,39.4,14600,7191,289,2017
"WK059901","Rotterdam Centrum","Rotterdam",8207,33995,414,74,488,37.3,27400,18935,183,2017
"WK059903","Delfshaven","Rotterdam",14712,75835,516,81,596,25.2,57600,34782,125,2017
"WK059904","Overschie","Rotterdam",1166,17620,1511,70,1580,31.8,13300,8175,170,2017
"WK059905","Noord","Rotterdam",10066,51800,515,21,535,29.8,41800,27139,141,2017
"WK059906","Hillegersberg-Schiebroek","Rotterdam",3757,43895,1168,159,1328,43,32400,20676,251,2017
"WK059908","Kralingen-Crooswijk","Rotterdam",5136,53700,1046,231,1277,32.8,40400,27493,181,2017
"WK059910","Feijenoord","Rotterdam",11152,74040,664,191,855,25.1,55300,34579,128,2017
"WK059912","IJsselmonde","Rotterdam",5082,60065,1182,127,1309,26.5,45500,28902,127,2017
"WK059913","Pernis","Rotterdam",3032,4785,158,4,162,31.1,3800,2194,154,2017
"WK059914","Prins Alexander","Rotterdam",5446,94905,1743,118,1860,32.8,74300,45436,181,2017
"WK059915","Charlois","Rotterdam",5961,66750,1120,70,1190,24,50000,33838,97,2017
"WK059916","Hoogvliet","Rotterdam",3672,34495,940,96,1036,28.6,27300,16030,143,2017
"WK059917","Hoek van Holland","Rotterdam",712,10200,1433,432,1866,32.7,8400,5653,221,2017
"WK059918","Spaanse Polder","Rotterdam",58,105,184,20,204,NA,100,32,NA,2017
"WK059919","Nieuw Mathenesse","Rotterdam",13,15,123,84,207,NA,0,7,NA,2017
"WK059921","Waalhaven-Eemhaven","Rotterdam",4,30,907,593,1501,NA,0,38,NA,2017
"WK059922","Vondelingenplaat","Rotterdam",NA,0,722,229,951,NA,0,2,NA,2017
"WK059923","Botlek-Europoort-Maasvlakte","Rotterdam",NA,0,6495,3922,10417,NA,0,5,NA,2017
"WK059924","Rotterdam-Noord-West","Rotterdam",17,15,111,6,116,NA,0,1,NA,2017
"WK059925","Rivium","Rotterdam",NA,0,10,2,12,NA,0,0,NA,2017
"WK059926","Bedrijventerrein Schieveen","Rotterdam",NA,0,152,0,152,NA,0,0,NA,2017
"WK059927","Rozenburg","Rotterdam",2735,12365,452,198,650,31.7,9800,5776,158,2017
"WK001400","Centrum","Groningen",9988,22550,226,16,241,23.1,18600,11519,165,2018
"WK001401","Oud-Zuid","Groningen",5479,20240,370,17,387,26.4,17000,10538,166,2018
"WK001402","Oud-West","Groningen",13052,14675,112,6,118,27.5,12000,7256,185,2018
"WK001403","Oud-Noord","Groningen",10478,18620,178,9,186,22.5,15400,10028,134,2018
"WK001404","Oosterparkwijk","Groningen",8153,12115,149,16,165,24.9,10100,7060,136,2018
"WK001405","Zuidoost","Groningen",252,2375,942,59,1001,41,1900,1127,238,2018
"WK001406","Helpman e.o.","Groningen",4423,19190,434,6,439,35.8,15200,9931,206,2018
"WK001407","Zuidwest","Groningen",2886,10940,379,56,435,33.8,8800,6066,202,2018
"WK001408","Hoogkerk e.o.","Groningen",848,12155,1433,126,1558,30.5,9200,4829,201,2018
"WK001409","Nieuw-West","Groningen",2371,16625,701,44,745,26.9,12700,7127,171,2018
"WK001410","Noordwest","Groningen",3694,18325,496,28,524,22.6,13800,9747,138,2018
"WK001411","Noordoost","Groningen",1555,16325,1050,22,1071,28.2,12700,7537,149,2018
"WK001412","Noorddijk e.o.","Groningen",2185,16445,753,54,806,28.9,12900,7386,165,2018
"WK001413","Meerdorpen","Groningen",162,1060,653,43,696,36.6,800,446,246,2018
"WK001414","Meerstad e.o.","Groningen",72,1170,1618,158,1776,41.1,800,349,312,2018
"WK034401","Wijk 01 West","Utrecht",3623,29345,810,88,898,36.8,23300,12726,260,2018
"WK034402","Wijk 02 Noordwest","Utrecht",9962,43795,440,14,453,30.3,35900,20373,213,2018
"WK034403","Wijk 03 Overvecht","Utrecht",4189,34260,818,30,848,24.2,25600,15752,153,2018
"WK034404","Wijk 04 Noordoost","Utrecht",7815,38930,498,9,507,41.3,30900,16951,341,2018
"WK034405","Wijk 05 Oost","Utrecht",3059,32855,1074,30,1104,37.4,25900,13766,367,2018
"WK034406","Wijk 06 Binnenstad","Utrecht",6969,18120,260,11,271,39.6,15400,9428,331,2018
"WK034407","Wijk 07 Zuid","Utrecht",5953,27325,459,14,473,32.2,22000,12816,220,2018
"WK034408","Wijk 08 Zuidwest","Utrecht",7512,38000,506,49,555,30.3,29600,17503,197,2018
"WK034409","Wijk 09 Leidsche Rijn","Utrecht",3490,36540,1047,79,1126,41.6,25600,13642,287,2018
"WK034410","Wijk 10 Vleuten-De Meern","Utrecht",1392,48305,3471,214,3685,40.9,34700,17874,310,2018
"WK036300","Burgwallen-Oude Zijde","Amsterdam",12323,4310,35,6,40,35.1,3700,2881,400,2018
"WK036301","Burgwallen-Nieuwe Zijde","Amsterdam",6881,3930,57,16,73,39.5,3400,2874,392,2018
"WK036302","Grachtengordel-West","Amsterdam",14261,6385,45,12,57,70.3,5200,4284,754,2018
"WK036303","Grachtengordel-Zuid","Amsterdam",10303,5350,52,12,64,67.1,4300,3403,699,2018
"WK036304","Nieuwmarkt/Lastage","Amsterdam",13741,9770,71,36,107,42,8100,6126,438,2018
"WK036305","Haarlemmerbuurt","Amsterdam",17007,9310,55,27,81,43.4,7600,5617,458,2018
"WK036306","Jordaan","Amsterdam",23289,19440,83,11,95,41.2,16700,13134,402,2018
"WK036307","De Weteringschans","Amsterdam",13012,7235,56,9,65,51.7,6000,4600,515,2018
"WK036308","Weesperbuurt/Plantage","Amsterdam",10125,7865,78,14,92,47.4,6000,4160,476,2018
"WK036309","Oostelijke Eilanden/Kadijken","Amsterdam",13388,13210,99,32,130,36,10900,7224,380,2018
"WK036310","Westelijk Havengebied","Amsterdam",10,195,2010,889,2899,25.4,200,35,NA,2018
"WK036311","Bedrijventerrein Sloterdijk","Amsterdam",73,525,720,50,770,23,500,42,92,2018
"WK036312","Houthavens","Amsterdam",3411,1120,33,59,92,49.9,900,625,480,2018
"WK036313","Spaarndammer- en Zeeheldenbuurt","Amsterdam",7890,10780,137,4,141,32,8800,6029,323,2018
"WK036314","Staatsliedenbuurt","Amsterdam",28139,13315,47,6,53,36.5,11200,7817,326,2018
"WK036315","Centrale Markt","Amsterdam",4660,2425,52,5,57,36.5,2000,1198,396,2018
"WK036316","Frederik Hendrikbuurt","Amsterdam",23520,8440,36,6,42,38.6,7000,5089,338,2018
"WK036317","Da Costabuurt","Amsterdam",21646,4705,22,4,26,43,4000,2667,401,2018
"WK036318","Kinkerbuurt","Amsterdam",26135,6590,25,2,27,38.8,5300,3735,346,2018
"WK036319","Van Lennepbuurt","Amsterdam",28005,6990,25,4,29,34.1,6000,4394,322,2018
"WK036320","Helmersbuurt","Amsterdam",22124,7410,34,1,35,47.3,6100,4230,474,2018
"WK036321","Overtoomse Sluis","Amsterdam",26482,7890,30,1,31,47.4,6600,4566,410,2018
"WK036322","Vondelbuurt","Amsterdam",8592,1865,22,0,22,67.4,1400,927,849,2018
"WK036323","Zuidas","Amsterdam",1747,3705,212,5,217,63.8,2800,1695,359,2018
"WK036324","Oude Pijp","Amsterdam",23353,14825,63,5,68,41.8,12700,9288,383,2018
"WK036325","Nieuwe Pijp","Amsterdam",23998,12325,51,3,54,40.4,10500,7528,360,2018
"WK036326","Zuid Pijp","Amsterdam",23247,8205,35,4,39,29.3,6900,4569,355,2018
"WK036327","Weesperzijde","Amsterdam",14984,5540,37,8,45,46.3,4400,2807,434,2018
"WK036328","Oosterparkbuurt","Amsterdam",15076,10890,72,3,75,34,9000,6129,352,2018
"WK036329","Dapperbuurt","Amsterdam",16956,10070,59,2,61,32.7,8200,5448,343,2018
"WK036330","Transvaalbuurt","Amsterdam",25306,9345,37,1,38,29.4,7600,4692,333,2018
"WK036331","Indische Buurt West","Amsterdam",26985,12645,47,1,48,30.4,10400,6536,306,2018
"WK036332","Indische Buurt Oost","Amsterdam",10876,10215,94,36,129,27.7,8100,5082,312,2018
"WK036333","Oostelijk Havengebied","Amsterdam",12011,18545,154,227,381,46.6,14900,8872,441,2018
"WK036334","Zeeburgereiland/Nieuwe Diep","Amsterdam",1267,3140,248,78,325,29.8,2500,2102,160,2018
"WK036335","IJburg West","Amsterdam",13204,14820,112,15,127,46,10200,5621,402,2018
"WK036336","Sloterdijk","Amsterdam",421,510,120,1,121,52.4,400,234,449,2018
"WK036337","Landlust","Amsterdam",18164,18560,102,7,109,30.4,14800,9671,278,2018
"WK036338","Erasmuspark","Amsterdam",16128,5850,36,4,41,34.7,4900,3058,283,2018
"WK036339","De Kolenkit","Amsterdam",13983,10080,72,2,74,26.6,7500,4728,269,2018
"WK036340","Geuzenbuurt","Amsterdam",25044,6900,28,2,29,37.5,5800,3675,333,2018
"WK036341","Van Galenbuurt","Amsterdam",24754,7135,29,1,29,30.3,4700,3218,284,2018
"WK036342","Hoofdweg e.o.","Amsterdam",26086,10415,40,2,42,32.4,8500,5774,287,2018
"WK036343","Westindische Buurt","Amsterdam",21808,6945,32,3,35,39.7,5800,3624,358,2018
"WK036344","Hoofddorppleinbuurt","Amsterdam",13948,11835,85,11,96,44.5,9800,6489,356,2018
"WK036345","Schinkelbuurt","Amsterdam",13187,3820,29,6,35,42.7,3300,2279,359,2018
"WK036346","Willemspark","Amsterdam",8617,5500,64,6,70,96.6,3900,2627,915,2018
"WK036347","Museumkwartier","Amsterdam",9613,12630,131,7,139,79.7,9600,6775,861,2018
"WK036348","Stadionbuurt","Amsterdam",12319,11790,96,12,107,42.1,9800,6550,409,2018
"WK036349","Apollobuurt","Amsterdam",9775,8640,88,6,94,84,6100,3881,1003,2018
"WK036350","IJburg Oost","Amsterdam",NA,0,40,0,40,NA,0,0,NA,2018
"WK036351","IJburg Zuid","Amsterdam",12215,8095,66,6,73,45.2,5300,2974,394,2018
"WK036352","Scheldebuurt","Amsterdam",15283,15115,99,2,101,48.2,12300,7610,477,2018
"WK036353","IJselbuurt","Amsterdam",21012,5385,26,4,29,34.8,4600,2999,369,2018
"WK036354","Rijnbuurt","Amsterdam",9494,9165,97,14,110,37.4,7900,5262,351,2018
"WK036355","Frankendael","Amsterdam",6828,10800,158,9,167,34.8,8300,5799,317,2018
"WK036356","Middenmeer","Amsterdam",5453,15450,283,19,302,43.2,11700,7497,418,2018
"WK036357","Betondorp","Amsterdam",2989,3250,109,5,113,26.9,2800,1957,267,2018
"WK036358","Omval/Overamstel","Amsterdam",1616,4605,285,35,320,37.7,3700,3184,217,2018
"WK036359","Prinses Irenebuurt e.o.","Amsterdam",3493,1335,38,5,43,76.9,1000,696,746,2018
"WK036360","Volewijck","Amsterdam",8166,9755,119,12,131,24,7700,4885,212,2018
"WK036361","IJplein/Vogelbuurt","Amsterdam",6962,8255,119,27,145,25.6,6600,4104,236,2018
"WK036362","Tuindorp Nieuwendam","Amsterdam",8229,3535,43,4,47,27.1,2900,1842,231,2018
"WK036363","Tuindorp Buiksloot","Amsterdam",11330,1910,17,0,17,25.1,1500,912,232,2018
"WK036364","Nieuwendammerdijk/Buiksloterdijk","Amsterdam",4714,1685,36,8,43,50.7,1200,630,533,2018
"WK036365","Tuindorp Oostzaan","Amsterdam",7251,11525,159,11,170,27.9,8900,5207,241,2018
"WK036366","Oostzanerwerf","Amsterdam",3507,8885,253,79,332,29.7,7000,3687,251,2018
"WK036367","Kadoelen","Amsterdam",2310,3115,135,15,150,36.1,2400,1222,306,2018
"WK036368","Waterlandpleinbuurt","Amsterdam",9247,13175,142,9,151,26.5,9700,5680,226,2018
"WK036369","Buikslotermeer","Amsterdam",7397,11170,151,4,155,25.7,8600,5301,216,2018
"WK036370","Banne Buiksloot","Amsterdam",8635,14305,166,17,183,26.3,10700,5953,236,2018
"WK036371","Noordelijke IJ-oevers West","Amsterdam",1436,3590,250,155,405,39.4,2800,1785,295,2018
"WK036372","Noordelijke IJ-oevers Oost","Amsterdam",463,315,68,43,111,32.8,300,193,196,2018
"WK036373","Waterland","Amsterdam",92,2275,2477,298,2775,47.1,1800,878,564,2018
"WK036374","Elzenhagen","Amsterdam",3350,2740,82,4,86,41.8,1900,986,389,2018
"WK036375","Chassébuurt","Amsterdam",24616,6240,25,2,28,33.6,5000,2956,347,2018
"WK036376","Slotermeer-Noordoost","Amsterdam",9651,9295,96,5,102,24.5,6800,4156,192,2018
"WK036377","Slotermeer-Zuidwest","Amsterdam",7992,17970,225,56,281,24.9,13400,7936,194,2018
"WK036378","Geuzenveld","Amsterdam",11892,15705,132,9,141,25.3,11200,6192,220,2018
"WK036379","Eendracht","Amsterdam",1118,2445,219,23,242,30.7,1900,933,269,2018
"WK036380","Lutkemeer/Ookmeer","Amsterdam",163,870,533,36,569,35.1,700,314,457,2018
"WK036381","Osdorp-Oost","Amsterdam",10344,16305,158,19,177,27.5,12800,7919,208,2018
"WK036382","Osdorp-Midden","Amsterdam",15549,16050,103,8,112,27.4,11500,6615,225,2018
"WK036383","De Punt","Amsterdam",10150,6070,60,0,60,25.8,4500,2599,189,2018
"WK036384","Middelveldsche Akerpolder","Amsterdam",9630,14530,151,14,164,35.3,11200,5385,332,2018
"WK036385","Slotervaart Noord","Amsterdam",7203,7995,111,44,155,29.9,5900,3354,256,2018
"WK036386","Overtoomse Veld","Amsterdam",9184,13355,145,9,154,29.2,9900,5461,229,2018
"WK036387","Westlandgracht","Amsterdam",7111,10050,141,8,150,35.7,7800,5612,244,2018
"WK036388","Sloter-/Riekerpolder","Amsterdam",3000,14005,467,127,594,36.8,11200,5711,329,2018
"WK036389","Slotervaart Zuid","Amsterdam",8444,10550,125,6,131,26.7,8000,4928,246,2018
"WK036390","Buitenveldert-West","Amsterdam",4695,13365,285,71,355,44,10700,7504,371,2018
"WK036391","Buitenveldert-Oost","Amsterdam",5133,7870,153,17,170,41.2,6000,4503,330,2018
"WK036392","Amstel III/Bullewijk","Amsterdam",143,715,498,29,527,22.7,600,363,81,2018
"WK036393","Bijlmer Centrum (D,F,H)","Amsterdam",8017,24275,303,13,316,23.3,18400,11858,152,2018
"WK036394","Bijlmer Oost (E,G,K)","Amsterdam",7785,28830,370,37,408,25.8,22700,12750,182,2018
"WK036395","Nellestein","Amsterdam",1342,2935,219,76,295,33.6,2400,1680,170,2018
"WK036396","Holendrecht/Reigersbos","Amsterdam",7037,18265,260,12,271,25.2,14500,8336,181,2018
"WK036397","Gein","Amsterdam",6210,11385,183,9,192,28.6,9100,5133,200,2018
"WK036398","Driemond","Amsterdam",883,1550,175,27,202,34.2,1200,665,266,2018
"WK051801","Wijk 01 Oostduinen","'s-Gravenhage",NA,0,308,10,318,NA,0,1,NA,2018
"WK051802","Wijk 02 Belgisch Park","'s-Gravenhage",7747,8210,106,0,106,44.4,6000,4118,339,2018
"WK051803","Wijk 03 Westbroekpark en Duttendel","'s-Gravenhage",1141,1960,172,8,179,69.2,1400,1124,646,2018
"WK051804","Wijk 04 Benoordenhout","'s-Gravenhage",5110,13705,268,6,274,63.6,9600,7423,444,2018
"WK051805","Wijk 05 Archipelbuurt","'s-Gravenhage",7014,6100,87,0,87,72.2,4500,3670,443,2018
"WK051806","Wijk 06 Van Stolkpark en Scheveningse Bosjes","'s-Gravenhage",701,760,108,3,111,79.3,500,464,688,2018
"WK051807","Wijk 07 Scheveningen","'s-Gravenhage",7536,17350,230,0,230,35.4,13500,10012,246,2018
"WK051808","Wijk 08 Duindorp","'s-Gravenhage",6583,5955,91,0,91,29,4600,2839,176,2018
"WK051809","Wijk 09 Geuzen- en Statenkwartier","'s-Gravenhage",10561,14065,133,2,135,53.5,10000,7185,395,2018
"WK051810","Wijk 10 Zorgvliet","'s-Gravenhage",583,505,86,1,88,66.7,400,349,612,2018
"WK051811","Wijk 11 Duinoord","'s-Gravenhage",11945,7780,65,3,68,51.6,5800,4062,331,2018
"WK051812","Wijk 12 Bomen- en Bloemenbuurt","'s-Gravenhage",10416,14675,141,2,142,37.8,11600,7707,230,2018
"WK051813","Wijk 13 Vogelwijk","'s-Gravenhage",1973,5350,271,0,271,61,3800,2125,609,2018
"WK051814","Wijk 14 Bohemen en Meer en Bos","'s-Gravenhage",3975,4890,123,4,127,37.7,4100,3087,219,2018
"WK051815","Wijk 15 Kijkduin en Ockenburgh","'s-Gravenhage",503,2350,467,10,476,51,1800,1167,492,2018
"WK051816","Wijk 16 Kraayenstein en de Uithof","'s-Gravenhage",1945,5875,302,34,336,42.6,4200,2732,287,2018
"WK051817","Wijk 17 Loosduinen","'s-Gravenhage",6606,17850,270,4,274,30.4,14000,8671,185,2018
"WK051818","Wijk 18 Waldeck","'s-Gravenhage",9446,17145,181,4,185,29.9,13800,9779,171,2018
"WK051819","Wijk 19 Vruchtenbuurt","'s-Gravenhage",9466,9805,104,0,104,39.7,7600,4559,240,2018
"WK051820","Wijk 20 Valkenboskwartier","'s-Gravenhage",17188,18245,106,1,107,30.5,14300,9555,163,2018
"WK051821","Wijk 21 Regentessekwartier","'s-Gravenhage",14799,13535,91,3,94,33.7,10600,7192,193,2018
