"district_code","district_name","municipality","pop_density","pop","land_ha","water_ha","tot_ha","av_inc_rec","num_inc_rec","house_stock","av_house_val","year"
"WK051822","Wijk 22 Zeeheldenkwartier","'s-Gravenhage",14594,11845,81,0,81,38.5,9000,6454,245,2018
"WK051823","Wijk 23 Willemspark","'s-Gravenhage",4493,1490,33,1,35,62.5,1200,1167,363,2018
"WK051824","Wijk 24 Haagse Bos","'s-Gravenhage",365,425,117,11,128,50.9,300,433,187,2018
"WK051825","Wijk 25 Mariahoeve en Marlot","'s-Gravenhage",4834,14705,304,5,309,32.9,11200,8662,159,2018
"WK051826","Wijk 26 Bezuidenhout","'s-Gravenhage",8759,16880,193,0,193,41.1,13100,9611,220,2018
"WK051827","Wijk 27 Stationsbuurt","'s-Gravenhage",13716,12445,91,3,94,27,9200,7068,141,2018
"WK051828","Wijk 28 Centrum","'s-Gravenhage",9946,19700,198,7,205,35.2,16000,12429,212,2018
"WK051829","Wijk 29 Schildersbuurt","'s-Gravenhage",21516,31335,146,1,146,20,22600,12360,122,2018
"WK051830","Wijk 30 Transvaalkwartier","'s-Gravenhage",19765,16190,82,0,82,21.7,11300,6135,124,2018
"WK051831","Wijk 31 Rustenburg en Oostbroek","'s-Gravenhage",19896,18665,94,1,95,26.1,14000,8459,119,2018
"WK051832","Wijk 32 Leyenburg","'s-Gravenhage",11567,14910,129,6,135,29.6,12000,7600,138,2018
"WK051833","Wijk 33 Bouwlust en Vrederust","'s-Gravenhage",6865,28635,417,11,428,24.3,21000,12665,131,2018
"WK051834","Wijk 34 Morgenstond","'s-Gravenhage",11243,18910,168,1,169,25.5,14400,9530,122,2018
"WK051835","Wijk 35 Zuiderpark","'s-Gravenhage",164,165,98,10,108,21.7,200,101,101,2018
"WK051836","Wijk 36 Moerwijk","'s-Gravenhage",11819,21090,178,2,180,22.7,15500,10403,102,2018
"WK051837","Wijk 37 Groente- en Fruitmarkt","'s-Gravenhage",11906,5320,45,5,50,23.7,3700,1689,141,2018
"WK051838","Wijk 38 Laakkwartier en Spoorwijk","'s-Gravenhage",15528,41575,268,13,281,23.6,30900,19128,120,2018
"WK051839","Wijk 39 Binckhorst","'s-Gravenhage",1334,1795,134,11,146,23.7,300,260,77,2018
"WK051840","Wijk 40 Wateringse Veld","'s-Gravenhage",7285,22035,303,25,328,37.4,15900,7680,284,2018
"WK051841","Wijk 41 Hoornwijk","'s-Gravenhage",80,285,357,15,372,27.9,300,78,458,2018
"WK051842","Wijk 42 Ypenburg","'s-Gravenhage",5998,27180,453,51,505,40.4,19300,9714,300,2018
"WK051843","Wijk 43 Forepark","'s-Gravenhage",43,125,295,9,304,53.3,100,39,NA,2018
"WK051844","Wijk 44 Leidschenveen","'s-Gravenhage",5932,20745,350,26,376,39.7,14800,7208,305,2018
"WK059901","Rotterdam Centrum","Rotterdam",8392,34685,413,75,488,37.9,27800,19011,205,2018
"WK059903","Delfshaven","Rotterdam",14666,75605,516,81,596,26.3,58100,34895,137,2018
"WK059904","Overschie","Rotterdam",1229,18350,1494,87,1580,33.6,13800,8421,180,2018
"WK059905","Noord","Rotterdam",10127,51845,512,23,535,31,41900,27230,157,2018
"WK059906","Hillegersberg-Schiebroek","Rotterdam",3780,44110,1167,161,1328,42.1,32800,20703,279,2018
"WK059908","Kralingen-Crooswijk","Rotterdam",5167,53875,1043,234,1277,32.3,41100,27900,201,2018
"WK059910","Feijenoord","Rotterdam",11331,75030,662,193,855,26.2,56600,35038,139,2018
"WK059912","IJsselmonde","Rotterdam",5102,60140,1179,130,1309,27,45700,28809,132,2018
"WK059913","Pernis","Rotterdam",3069,4845,158,4,162,31.6,3900,2215,159,2018
"WK059914","Prins Alexander","Rotterdam",5491,95450,1738,122,1860,33.1,75200,45605,192,2018
"WK059915","Charlois","Rotterdam",6013,67270,1119,71,1190,24.8,50700,33920,103,2018
"WK059916","Hoogvliet","Rotterdam",3695,34620,937,99,1036,29.5,27500,16065,153,2018
"WK059917","Hoek van Holland","Rotterdam",721,10285,1428,436,1863,32.9,8500,5651,227,2018
"WK059918","Spaanse Polder","Rotterdam",59,105,184,20,204,NA,100,32,NA,2018
"WK059919","Nieuw Mathenesse","Rotterdam",13,15,123,84,207,NA,0,7,NA,2018
"WK059921","Waalhaven-Eemhaven","Rotterdam",4,40,903,598,1501,NA,0,38,NA,2018
"WK059922","Vondelingenplaat","Rotterdam",NA,0,722,229,951,NA,0,2,NA,2018
"WK059923","Botlek-Europoort-Maasvlakte","Rotterdam",NA,0,6736,4823,11560,NA,0,5,NA,2018
"WK059924","Rotterdam-Noord-West","Rotterdam",9,10,111,6,116,NA,0,1,NA,2018
"WK059925","Rivium","Rotterdam",NA,0,10,2,12,NA,0,0,NA,2018
"WK059926","Bedrijventerrein Schieveen","Rotterdam",NA,0,152,0,152,NA,0,0,NA,2018
"WK059927","Rozenburg","Rotterdam",2749,12420,452,198,650,32.1,9900,5788,163,2018
"WK001400","Centrum","Groningen",10028,22645,226,16,241,24.1,18700,11937,183,2019
"WK001401","Oud-Zuid","Groningen",5486,20275,370,17,387,27.4,17000,10679,176,2019
"WK001402","Oud-West","Groningen",12948,14560,112,6,118,28.4,12000,7291,200,2019
"WK001403","Oud-Noord","Groningen",10473,18610,178,9,186,23.6,15400,10133,146,2019
"WK001404","Oosterparkwijk","Groningen",8243,12250,149,16,165,26.1,10200,7450,156,2019
"WK001405","Zuidoost","Groningen",287,2700,942,59,1001,41.2,2200,1438,248,2019
"WK001406","Helpman e.o.","Groningen",4440,19260,434,6,439,36.9,15300,10099,217,2019
"WK001407","Zuidwest","Groningen",2890,10955,379,56,435,34.7,8800,6087,211,2019
"WK001408","Hoogkerk e.o.","Groningen",847,12135,1433,126,1558,31.2,9200,4816,211,2019
"WK001409","Nieuw-West","Groningen",2410,16895,701,44,745,28,12900,7251,188,2019
"WK001410","Noordwest","Groningen",3715,18430,496,28,524,23.2,13900,9623,150,2019
"WK001411","Noordoost","Groningen",1543,16195,1050,22,1071,28.9,12700,7537,160,2019
"WK001412","Noorddijk e.o.","Groningen",2171,16335,753,54,806,29.6,12900,7391,179,2019
"WK001413","Meerdorpen","Groningen",163,1065,653,43,696,37.2,800,444,268,2019
"WK001414","Meerstad e.o.","Groningen",93,1510,1618,158,1776,43.2,1000,386,326,2019
"WK001415","Ten Boer e.o.","Groningen",203,5960,2940,30,2969,31,4600,2448,191,2019
"WK001416","Ten Post e.o.","Groningen",84,1330,1591,12,1603,32,1100,603,182,2019
"WK001417","Haren Centrum","Groningen",1330,18425,1386,55,1441,42,14000,8381,301,2019
"WK001418","Haren Land","Groningen",56,1775,3151,481,3632,42.9,1500,739,396,2019
"WK034401","Wijk 01 West","Utrecht",3630,29400,810,88,898,38.2,23400,12745,296,2019
"WK034402","Wijk 02 Noordwest","Utrecht",10140,44580,440,14,453,32.1,36500,20649,251,2019
"WK034403","Wijk 03 Overvecht","Utrecht",4193,34295,818,30,848,25.3,25800,15902,178,2019
"WK034404","Wijk 04 Noordoost","Utrecht",7884,39270,498,9,507,42.5,31200,17051,378,2019
"WK034405","Wijk 05 Oost","Utrecht",3026,32505,1074,30,1104,38.8,25700,13780,394,2019
"WK034406","Wijk 06 Binnenstad","Utrecht",7173,18655,260,11,271,40.8,15900,9803,380,2019
"WK034407","Wijk 07 Zuid","Utrecht",6048,27770,459,14,473,33.2,22400,13059,245,2019
"WK034408","Wijk 08 Zuidwest","Utrecht",7595,38420,506,49,555,31.8,30200,17740,227,2019
"WK034409","Wijk 09 Leidsche Rijn","Utrecht",3711,38860,1047,79,1126,43.1,27500,15022,329,2019
"WK034410","Wijk 10 Vleuten-De Meern","Utrecht",1406,48785,3471,214,3685,42,35300,18094,360,2019
"WK036300","Burgwallen-Oude Zijde","Amsterdam",12292,4295,35,6,40,38.2,3700,2917,436,2019
"WK036301","Burgwallen-Nieuwe Zijde","Amsterdam",7219,4125,57,16,73,41.7,3500,2884,450,2019
"WK036302","Grachtengordel-West","Amsterdam",14234,6375,45,12,57,72.6,5200,4314,761,2019
"WK036303","Grachtengordel-Zuid","Amsterdam",10369,5380,52,12,64,72.9,4400,3447,766,2019
"WK036304","Nieuwmarkt/Lastage","Amsterdam",13603,9670,71,36,107,44.1,8100,6190,462,2019
"WK036305","Haarlemmerbuurt","Amsterdam",17012,9310,55,27,81,44.5,7700,5641,480,2019
"WK036306","Jordaan","Amsterdam",23271,19425,83,11,95,46.2,16700,13156,425,2019
"WK036307","De Weteringschans","Amsterdam",13048,7260,56,9,65,58.9,6000,4622,569,2019
"WK036308","Weesperbuurt/Plantage","Amsterdam",9970,7745,78,14,92,49.9,5800,4277,501,2019
"WK036309","Oostelijke Eilanden/Kadijken","Amsterdam",13422,13245,99,32,130,37.8,11000,7236,402,2019
"WK036310","Westelijk Havengebied","Amsterdam",9,175,2010,889,2899,28.4,100,30,NA,2019
"WK036311","Bedrijventerrein Sloterdijk","Amsterdam",120,865,720,50,770,29.7,600,646,118,2019
"WK036312","Houthavens","Amsterdam",7301,2395,33,59,92,61,1900,1354,583,2019
"WK036313","Spaarndammer- en Zeeheldenbuurt","Amsterdam",7893,10785,137,4,141,33.8,8700,6029,345,2019
"WK036314","Staatsliedenbuurt","Amsterdam",27816,13165,47,6,53,37.9,11100,7814,352,2019
"WK036315","Centrale Markt","Amsterdam",4770,2485,52,5,57,38.3,2000,1247,403,2019
"WK036316","Frederik Hendrikbuurt","Amsterdam",23174,8310,36,6,42,40.7,6900,5104,358,2019
"WK036317","Da Costabuurt","Amsterdam",21352,4640,22,4,26,45.4,3900,2676,433,2019
"WK036318","Kinkerbuurt","Amsterdam",25877,6525,25,2,27,42,5300,3779,375,2019
"WK036319","Van Lennepbuurt","Amsterdam",28154,7025,25,4,29,35.7,6000,4399,341,2019
"WK036320","Helmersbuurt","Amsterdam",22267,7460,34,1,35,50.2,6300,4249,501,2019
"WK036321","Overtoomse Sluis","Amsterdam",26562,7915,30,1,31,49.2,6600,4604,440,2019
"WK036322","Vondelbuurt","Amsterdam",8481,1840,22,0,22,69.2,1400,939,903,2019
"WK036323","Zuidas","Amsterdam",1815,3845,212,5,217,68.2,3000,2331,436,2019
"WK036324","Oude Pijp","Amsterdam",23248,14755,63,5,68,43.5,12700,9326,418,2019
"WK036325","Nieuwe Pijp","Amsterdam",24092,12375,51,3,54,41.8,10600,7635,393,2019
"WK036326","Zuid Pijp","Amsterdam",23233,8195,35,4,39,30.7,6900,4584,375,2019
"WK036327","Weesperzijde","Amsterdam",15771,5830,37,8,45,48.1,4700,3008,463,2019
"WK036328","Oosterparkbuurt","Amsterdam",15027,10860,72,3,75,35.9,9100,6156,379,2019
"WK036329","Dapperbuurt","Amsterdam",17153,10185,59,2,61,34.8,8300,5525,380,2019
"WK036330","Transvaalbuurt","Amsterdam",25065,9255,37,1,38,31.3,7600,4702,358,2019
"WK036331","Indische Buurt West","Amsterdam",26944,12625,47,1,48,31.7,10400,6678,330,2019
"WK036332","Indische Buurt Oost","Amsterdam",10705,10055,94,36,129,28.5,8000,5082,337,2019
"WK036333","Oostelijk Havengebied","Amsterdam",12201,18840,154,227,381,47.5,15300,9167,478,2019
"WK036334","Zeeburgereiland/Nieuwe Diep","Amsterdam",1476,3655,248,78,325,33.8,2800,2359,258,2019
"WK036335","IJburg West","Amsterdam",13776,15465,112,15,127,47,10900,5975,453,2019
"WK036336","Sloterdijk","Amsterdam",455,550,120,1,121,48.2,500,234,493,2019
"WK036337","Landlust","Amsterdam",18491,18895,102,7,109,32.5,15200,9744,305,2019
"WK036338","Erasmuspark","Amsterdam",16230,5885,36,4,41,37.2,4900,3070,315,2019
"WK036339","De Kolenkit","Amsterdam",14100,10160,72,2,74,28.3,7500,5280,264,2019
"WK036340","Geuzenbuurt","Amsterdam",24739,6815,28,2,29,39,5800,3684,363,2019
"WK036341","Van Galenbuurt","Amsterdam",26068,7515,29,1,29,31.3,4700,3216,311,2019
"WK036342","Hoofdweg e.o.","Amsterdam",25958,10365,40,2,42,34.1,8600,5776,317,2019
"WK036343","Westindische Buurt","Amsterdam",21732,6920,32,3,35,41.9,5700,3628,392,2019
"WK036344","Hoofddorppleinbuurt","Amsterdam",13918,11810,85,11,96,47.2,9800,6506,402,2019
"WK036345","Schinkelbuurt","Amsterdam",13574,3935,29,6,35,44.6,3400,2367,401,2019
"WK036346","Willemspark","Amsterdam",8611,5500,64,6,70,102,3900,2642,1009,2019
"WK036347","Museumkwartier","Amsterdam",9690,12730,131,7,139,81.9,9700,6803,934,2019
"WK036348","Stadionbuurt","Amsterdam",12351,11825,96,12,107,43.8,9800,6554,445,2019
"WK036349","Apollobuurt","Amsterdam",9766,8635,88,6,94,89.7,6100,3884,1084,2019
"WK036350","IJburg Oost","Amsterdam",NA,0,40,0,40,NA,0,0,NA,2019
"WK036351","IJburg Zuid","Amsterdam",12448,8255,66,6,73,47.3,5400,3080,454,2019
"WK036352","Scheldebuurt","Amsterdam",15270,15105,99,2,101,49.9,12200,7698,514,2019
"WK036353","IJselbuurt","Amsterdam",20716,5310,26,4,29,37,4600,3005,392,2019
"WK036354","Rijnbuurt","Amsterdam",9438,9105,97,14,110,39.3,7900,5268,391,2019
"WK036355","Frankendael","Amsterdam",7143,11305,158,9,167,37.2,8700,6116,343,2019
"WK036356","Middenmeer","Amsterdam",5600,15870,283,19,302,45,12200,8015,433,2019
"WK036357","Betondorp","Amsterdam",2996,3260,109,5,113,27.3,2800,1957,309,2019
"WK036358","Omval/Overamstel","Amsterdam",1685,4800,285,35,320,41.6,3800,3530,254,2019
"WK036359","Prinses Irenebuurt e.o.","Amsterdam",3498,1340,38,5,43,74.7,1000,696,838,2019
"WK036360","Volewijck","Amsterdam",8074,9645,119,12,131,25.4,7600,4882,247,2019
"WK036361","IJplein/Vogelbuurt","Amsterdam",6977,8275,119,27,145,26.9,6600,4113,288,2019
"WK036362","Tuindorp Nieuwendam","Amsterdam",8210,3530,43,4,47,27.8,2900,1842,261,2019
"WK036363","Tuindorp Buiksloot","Amsterdam",11164,1885,17,0,17,26.3,1500,912,254,2019
"WK036364","Nieuwendammerdijk/Buiksloterdijk","Amsterdam",4714,1690,36,8,43,53.8,1300,630,593,2019
"WK036365","Tuindorp Oostzaan","Amsterdam",7368,11715,159,11,170,29.2,9100,5237,275,2019
"WK036366","Oostzanerwerf","Amsterdam",3512,8900,253,79,332,30.2,7100,3688,287,2019
"WK036367","Kadoelen","Amsterdam",2437,3290,135,15,150,38.2,2500,1297,411,2019
"WK036368","Waterlandpleinbuurt","Amsterdam",9255,13185,142,9,151,27.2,9600,5555,265,2019
"WK036369","Buikslotermeer","Amsterdam",7367,11125,151,4,155,26.4,8700,5301,254,2019
"WK036370","Banne Buiksloot","Amsterdam",8703,14415,166,17,183,27.1,10800,5980,276,2019
"WK036371","Noordelijke IJ-oevers West","Amsterdam",1622,4055,250,155,405,41.1,3300,2263,285,2019
"WK036372","Noordelijke IJ-oevers Oost","Amsterdam",477,330,68,43,111,32.7,300,191,245,2019
"WK036373","Waterland","Amsterdam",93,2315,2477,298,2775,45.2,1800,882,637,2019
"WK036374","Elzenhagen","Amsterdam",3493,2850,82,4,86,41.9,2000,1074,401,2019
"WK036375","Chassébuurt","Amsterdam",24474,6205,25,2,28,35.5,5000,2963,373,2019
"WK036376","Slotermeer-Noordoost","Amsterdam",9702,9345,96,5,102,25.8,6900,4152,222,2019
"WK036377","Slotermeer-Zuidwest","Amsterdam",7997,17975,225,56,281,26,13500,7974,216,2019
"WK036378","Geuzenveld","Amsterdam",12313,16260,132,9,141,26.2,11600,6265,257,2019
"WK036379","Eendracht","Amsterdam",1119,2450,219,23,242,32,1900,933,316,2019
"WK036380","Lutkemeer/Ookmeer","Amsterdam",212,1130,533,36,569,33.3,700,308,546,2019
"WK036381","Osdorp-Oost","Amsterdam",10339,16295,158,19,177,28.8,12900,7859,240,2019
"WK036382","Osdorp-Midden","Amsterdam",15264,15755,103,8,112,28.7,11400,6615,254,2019
"WK036383","De Punt","Amsterdam",10250,6130,60,0,60,27.1,4300,2639,219,2019
"WK036384","Middelveldsche Akerpolder","Amsterdam",9630,14530,151,14,164,36.2,11300,5386,368,2019
"WK036385","Slotervaart Noord","Amsterdam",7263,8065,111,44,155,31.2,6000,3429,292,2019
"WK036386","Overtoomse Veld","Amsterdam",9569,13915,145,9,154,31.2,10400,5851,273,2019
"WK036387","Westlandgracht","Amsterdam",7486,10575,141,8,150,37.7,8300,6173,270,2019
"WK036388","Sloter-/Riekerpolder","Amsterdam",2991,13960,467,127,594,38.6,11200,5725,363,2019
"WK036389","Slotervaart Zuid","Amsterdam",8519,10645,125,6,131,28.1,8200,5055,273,2019
"WK036390","Buitenveldert-West","Amsterdam",4753,13530,285,71,355,46.4,10800,7512,403,2019
"WK036391","Buitenveldert-Oost","Amsterdam",5166,7920,153,17,170,42.1,6100,4552,381,2019
"WK036392","Amstel III/Bullewijk","Amsterdam",143,715,498,29,527,18.8,600,398,97,2019
"WK036393","Bijlmer Centrum (D,F,H)","Amsterdam",7984,24175,303,13,316,24.3,18400,12180,174,2019
"WK036394","Bijlmer Oost (E,G,K)","Amsterdam",7955,29455,370,37,408,26.9,23200,13004,215,2019
"WK036395","Nellestein","Amsterdam",1335,2920,219,76,295,34.6,2400,1680,208,2019
"WK036396","Holendrecht/Reigersbos","Amsterdam",7034,18260,260,12,271,25.8,14500,8336,207,2019
"WK036397","Gein","Amsterdam",6238,11440,183,9,192,29.4,9100,5143,224,2019
"WK036398","Driemond","Amsterdam",916,1605,175,27,202,35.3,1300,676,318,2019
"WK051801","Wijk 01 Oostduinen","'s-Gravenhage",NA,0,308,10,318,NA,0,1,NA,2019
"WK051802","Wijk 02 Belgisch Park","'s-Gravenhage",7783,8245,106,0,106,46.6,6100,4125,366,2019
"WK051803","Wijk 03 Westbroekpark en Duttendel","'s-Gravenhage",1170,2010,172,8,179,70.6,1400,1217,581,2019
"WK051804","Wijk 04 Benoordenhout","'s-Gravenhage",5166,13855,268,6,274,65.2,9800,7438,461,2019
"WK051805","Wijk 05 Archipelbuurt","'s-Gravenhage",7087,6165,87,0,87,72,4600,3693,484,2019
"WK051806","Wijk 06 Van Stolkpark en Scheveningse Bosjes","'s-Gravenhage",710,765,108,3,111,85,500,469,635,2019
"WK051807","Wijk 07 Scheveningen","'s-Gravenhage",7723,17785,230,0,230,36.9,13900,10229,263,2019
"WK051808","Wijk 08 Duindorp","'s-Gravenhage",6490,5875,91,0,91,30,4500,2839,201,2019
"WK051809","Wijk 09 Geuzen- en Statenkwartier","'s-Gravenhage",10459,13925,133,2,135,54.5,9900,7243,416,2019
"WK051810","Wijk 10 Zorgvliet","'s-Gravenhage",618,530,86,1,88,66,400,350,647,2019
"WK051811","Wijk 11 Duinoord","'s-Gravenhage",12088,7870,65,3,68,54.2,5900,4163,364,2019
"WK051812","Wijk 12 Bomen- en Bloemenbuurt","'s-Gravenhage",10470,14750,141,2,142,39,11600,7732,268,2019
"WK051813","Wijk 13 Vogelwijk","'s-Gravenhage",1968,5340,271,0,271,61.8,3800,2126,652,2019
"WK051814","Wijk 14 Bohemen en Meer en Bos","'s-Gravenhage",3898,4800,123,4,127,39.2,4000,3108,245,2019
"WK051815","Wijk 15 Kijkduin en Ockenburgh","'s-Gravenhage",504,2350,467,10,476,50.8,1800,1166,476,2019
"WK051816","Wijk 16 Kraayenstein en Vroondaal","'s-Gravenhage",2071,6255,302,34,336,45.7,4500,2839,314,2019
"WK051817","Wijk 17 Loosduinen","'s-Gravenhage",6653,17975,270,4,274,31.1,14100,8694,197,2019
"WK051818","Wijk 18 Waldeck","'s-Gravenhage",9516,17270,181,4,185,30.7,13900,9783,189,2019
"WK051819","Wijk 19 Vruchtenbuurt","'s-Gravenhage",9496,9835,104,0,104,40.4,7600,4560,280,2019
"WK051820","Wijk 20 Valkenboskwartier","'s-Gravenhage",17193,18250,106,1,107,31.7,14400,9601,188,2019
"WK051821","Wijk 21 Regentessekwartier","'s-Gravenhage",15063,13775,91,3,94,35.5,10800,7362,215,2019
"WK051822","Wijk 22 Zeeheldenkwartier","'s-Gravenhage",14894,12090,81,0,81,40,9200,6533,270,2019
"WK051823","Wijk 23 Willemspark","'s-Gravenhage",4794,1590,33,1,35,67.6,1200,1170,400,2019
"WK051824","Wijk 24 Haagse Bos","'s-Gravenhage",384,445,117,11,128,55.2,300,433,174,2019
"WK051825","Wijk 25 Mariahoeve en Marlot","'s-Gravenhage",4855,14770,304,5,309,33.9,11300,8684,179,2019
"WK051826","Wijk 26 Bezuidenhout","'s-Gravenhage",8906,17160,193,0,193,42.5,13300,9636,246,2019
"WK051827","Wijk 27 Stationsbuurt","'s-Gravenhage",13646,12380,91,3,94,27.5,9200,7080,155,2019
"WK051828","Wijk 28 Centrum","'s-Gravenhage",10027,19855,198,7,205,35.8,16100,12579,239,2019
"WK051829","Wijk 29 Schildersbuurt","'s-Gravenhage",21550,31385,146,1,146,20.9,22800,12445,137,2019
"WK051830","Wijk 30 Transvaalkwartier","'s-Gravenhage",19755,16180,82,0,82,22.7,11500,6149,138,2019
"WK051831","Wijk 31 Rustenburg en Oostbroek","'s-Gravenhage",19931,18700,94,1,95,27,14100,8472,137,2019
"WK051832","Wijk 32 Leyenburg","'s-Gravenhage",11646,15015,129,6,135,30.4,12100,7645,153,2019
"WK051833","Wijk 33 Bouwlust en Vrederust","'s-Gravenhage",6962,29040,417,11,428,25.5,21200,12741,150,2019
"WK051834","Wijk 34 Morgenstond","'s-Gravenhage",11504,19345,168,1,169,26.5,14700,9835,138,2019
"WK051835","Wijk 35 Zuiderpark","'s-Gravenhage",158,155,98,10,108,22.4,100,101,114,2019
"WK051836","Wijk 36 Moerwijk","'s-Gravenhage",11936,21300,178,2,180,23.6,15700,10431,115,2019
"WK051837","Wijk 37 Groente- en Fruitmarkt","'s-Gravenhage",11848,5295,45,5,50,24.7,3700,1691,161,2019
"WK051838","Wijk 38 Laakkwartier en Spoorwijk","'s-Gravenhage",15785,42265,268,13,281,24.6,31600,19448,134,2019
"WK051839","Wijk 39 Binckhorst","'s-Gravenhage",1693,2275,134,11,146,38.5,600,527,180,2019
"WK051840","Wijk 40 Wateringse Veld","'s-Gravenhage",7337,22200,303,25,328,38.5,16000,7719,318,2019
"WK051841","Wijk 41 Hoornwijk","'s-Gravenhage",74,265,357,15,372,31.1,200,82,510,2019
"WK051842","Wijk 42 Ypenburg","'s-Gravenhage",6007,27225,453,51,505,41.2,19700,9715,326,2019
"WK051843","Wijk 43 Forepark","'s-Gravenhage",46,135,295,9,304,46,100,47,537,2019
"WK051844","Wijk 44 Leidschenveen","'s-Gravenhage",6023,21065,350,26,376,40.9,15200,7363,338,2019
"WK059901","Rotterdam Centrum","Rotterdam",8480,35055,413,75,488,38.8,28100,19070,251,2019
"WK059903","Delfshaven","Rotterdam",14784,76215,516,81,596,27.5,58900,34972,163,2019
"WK059904","Overschie","Rotterdam",1261,18840,1494,87,1580,35,14100,8429,209,2019
"WK059905","Noord","Rotterdam",10162,52025,512,23,535,32.6,42200,27248,200,2019
"WK059906","Hillegersberg-Schiebroek","Rotterdam",3812,44475,1167,161,1328,43.8,33100,20764,310,2019
"WK059908","Kralingen-Crooswijk","Rotterdam",5200,54220,1043,234,1277,33.7,41500,27972,229,2019
"WK059910","Feijenoord","Rotterdam",11408,75535,662,193,855,27.3,57200,35064,161,2019
"WK059912","IJsselmonde","Rotterdam",5162,60845,1179,130,1309,27.9,46300,28678,145,2019
"WK059913","Pernis","Rotterdam",3074,4850,158,4,162,32.8,3900,2215,174,2019
"WK059914","Prins Alexander","Rotterdam",5510,95775,1738,122,1860,34.1,75700,45693,215,2019
"WK059915","Charlois","Rotterdam",6131,68595,1119,71,1190,25.8,51700,33887,117,2019
"WK059916","Hoogvliet","Rotterdam",3731,34955,937,99,1036,30.4,27600,16066,167,2019
"WK059917","Hoek van Holland","Rotterdam",726,10360,1428,436,1863,33.7,8600,5665,NA,2019
"WK059918","Spaanse Polder","Rotterdam",55,100,184,20,204,NA,100,32,295,2019
"WK059919","Nieuw Mathenesse","Rotterdam",43,50,123,84,207,NA,0,6,NA,2019
"WK059921","Waalhaven-Eemhaven","Rotterdam",4,35,903,598,1501,NA,0,36,333,2019
"WK059922","Vondelingenplaat","Rotterdam",NA,0,722,229,951,NA,0,2,NA,2019
"WK059923","Botlek-Europoort-Maasvlakte","Rotterdam",NA,0,6736,4823,11560,NA,0,5,NA,2019
"WK059924","Rotterdam-Noord-West","Rotterdam",NA,5,111,6,116,NA,0,1,NA,2019
"WK059925","Rivium","Rotterdam",NA,0,10,2,12,NA,0,0,NA,2019
"WK059926","Bedrijventerrein Schieveen","Rotterdam",NA,0,152,0,152,NA,0,0,NA,2019
"WK059927","Rozenburg","Rotterdam",2770,12515,452,198,650,32.8,10000,5792,169,2019
"WK001400","Centrum","Groningen",10127,22865,226,16,241,25.3,18500,12288,200,2020
"WK001401","Oud-Zuid","Groningen",5388,19905,370,17,387,28.6,16700,10747,193,2020
"WK001402","Oud-West","Groningen",12841,14440,112,6,118,29.8,11800,7368,216,2020
"WK001403","Oud-Noord","Groningen",10437,18545,178,9,186,24.7,15300,10256,159,2020
"WK001404","Oosterparkwijk","Groningen",8273,12295,149,16,165,27.4,10200,7363,173,2020
"WK001405","Zuidoost","Groningen",334,3150,942,59,1001,41.5,2600,1566,258,2020
"WK001406","Helpman e.o.","Groningen",4458,19345,434,6,439,38.4,15300,10114,237,2020
"WK001407","Zuidwest","Groningen",2887,10945,379,56,435,35.4,8800,6074,231,2020
"WK001408","Hoogkerk e.o.","Groningen",860,12325,1433,126,1558,32,9300,4822,227,2020
"WK001409","Nieuw-West","Groningen",2462,17265,701,44,745,28.6,13200,7776,198,2020
"WK001410","Noordwest","Groningen",3742,18560,496,28,524,23.9,14000,9902,164,2020
"WK001411","Noordoost","Groningen",1539,16150,1050,22,1071,29.7,12700,7541,174,2020
"WK001412","Noorddijk e.o.","Groningen",2160,16255,753,54,806,30.7,12900,7426,193,2020
"WK001413","Meerdorpen","Groningen",163,1065,653,43,696,37.7,800,444,288,2020
"WK001414","Meerstad e.o.","Groningen",125,2025,1618,158,1776,45.9,1300,544,345,2020
"WK001415","Ten Boer e.o.","Groningen",201,5910,2940,30,2969,31.5,4600,2468,205,2020
"WK001416","Ten Post e.o.","Groningen",84,1330,1591,12,1603,32,1100,611,199,2020
"WK001417","Haren-West e.o.","Groningen",901,12695,1408,336,1744,46.5,9500,5789,348,2020
"WK001418","Haren-Oost e.o.","Groningen",1148,5200,453,8,461,34.7,4000,2232,246,2020
"WK001419","Glimmen-Onnen-Noordlaren","Groningen",97,2590,2676,193,2868,43,2100,1114,414,2020
"WK034401","Wijk 01 West","Utrecht",3614,29270,810,88,898,39.8,23200,12750,327,2020
"WK034402","Wijk 02 Noordwest","Utrecht",10294,45255,440,14,453,33.9,37100,21121,279,2020
"WK034403","Wijk 03 Overvecht","Utrecht",4193,34295,818,30,848,26.3,25900,15912,206,2020
"WK034404","Wijk 04 Noordoost","Utrecht",7966,39680,498,9,507,44.1,31400,17414,410,2020
"WK034405","Wijk 05 Oost","Utrecht",2987,32080,1074,30,1104,41,25400,13843,428,2020
"WK034406","Wijk 06 Binnenstad","Utrecht",7371,19165,260,11,271,42.6,16300,10174,410,2020
"WK034407","Wijk 07 Zuid","Utrecht",6077,27900,459,14,473,34.7,22400,13356,271,2020
"WK034408","Wijk 08 Zuidwest","Utrecht",7635,38620,506,49,555,33.6,30400,17780,258,2020
"WK034409","Wijk 09 Leidsche Rijn","Utrecht",3944,41295,1047,79,1126,44.4,29300,15908,370,2020
"WK034410","Wijk 10 Vleuten-De Meern","Utrecht",1435,49795,3471,214,3685,43.5,36100,18420,397,2020
